ChEMBL_ID,SMILES,pIC50,Activity_Label
CHEMBL506588,Cc1cccc(C(=O)c2c(-c3ccc(OCCCCCCCN(C)Cc4ccccc4)cc3)oc3ccccc23)c1,3.896196279044043,0
CHEMBL2160228,Cc1cccc(C(=O)c2c(-c3cccc(OCCCCCCCN(C)Cc4ccccc4)c3)oc3ccccc23)c1,3.9913998282380825,0
CHEMBL286727,Cc1cccc(C)c1,7.0049305099743595,1
CHEMBL3786323,Cc1cccc(C2N(C)Cc3cc(O)ccc3N2C)c1,3.359518563029578,0
CHEMBL4166003,Cc1cccc(C2NC(=S)Nc3nc4c(c(N)c32)CCCC4)c1,4.995678626217358,0
CHEMBL306179,Cc1cccc(CN2CCC(CCC(=O)c3ccc4c(c3)CCN4)CC2)c1,7.301029995663981,1
CHEMBL74340,Cc1cccc(CN2CCC(CCC(=O)c3ccc4c(c3)NCCCC4)CC2)c1,6.649751981665837,1
CHEMBL4851865,Cc1cccc(CN2CCC(CNC(=O)c3cncc(NC(=O)c4ccnc(NC(=O)C5CC5)c4)c3)CC2)c1,2.196269829025456,0
CHEMBL4784203,Cc1cccc(CNC2CCN(Cc3ccccc3)C2)c1,5.0,0
CHEMBL4205520,Cc1cccc(C[n+]2ccc(COc3ccc4c(C)cc(=O)oc4c3)cc2)c1.[Br-],7.077793722560983,1
CHEMBL345698,Cc1cccc(F)c1,7.154901959985743,1
CHEMBL241553,Cc1cccc(N(C)C(=O)Oc2ccc(Oc3ccc(C(F)(F)F)cn3)cc2)c1,4.301029995663981,0
CHEMBL131598,Cc1cccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)c1,7.552841968657781,1
CHEMBL335962,Cc1cccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)c1C,7.638272163982407,1
CHEMBL5563895,Cc1cccc(Oc2ccc3nc4c(c(N)c3c2)CCCCC4)c1.Cl,4.911863911299449,0
CHEMBL114059,Cc1cccc([N+](=O)[O-])c1,6.854905871193694,1
CHEMBL352247,Cc1cccc2c1CC(C)C2=O,7.28512224552717,1
CHEMBL4285759,Cc1cccc2c1ccc1c3c(c(=O)oc(=O)c12)[C@@H](C)CO3,4.994304818881489,0
CHEMBL4282357,Cc1cccc2c1ccc1c3occ(C)c3c(=O)oc(=O)c21,5.0,0
CHEMBL1082748,Cc1cccc2n1cc(-c1cccc(OC(=O)N(C)C)c1)[n+]2C.[Cl-],4.619788758288394,0
CHEMBL133906,Cc1cccc2nc3c(c(N)c12)CCCC3,7.00436480540245,1
CHEMBL4873501,Cc1cccc2nc3c(c(N)c12)CCCC3.Cl,6.903089986991944,1
CHEMBL4856125,Cc1cccc2nc3c(c(N)c12)CCCCC3.Cl,6.5934598195660445,1
CHEMBL132619,Cc1cccc2nc3c(c(N)c12)CCCO3,6.823908740944319,1
CHEMBL5203777,Cc1cccc2sc(NC(=O)CCN3CCN(C4CCCCC4)CC3)nc12,4.962175249411658,0
CHEMBL5198839,Cc1cccc2sc(NC(=O)CCN3CCN(C4CCN(C)CC4)CC3)nc12,4.9779842601822795,0
CHEMBL5205006,Cc1cccc2sc(NC(=O)CCN3CCN(CCN(C(C)C)C(C)C)CC3)nc12,6.619788758288394,1
CHEMBL5193082,Cc1cccc2sc(NC(=O)CCN3CCN(Cc4cc(F)ccc4F)CC3)nc12,4.898940645091884,0
CHEMBL5172256,Cc1cccc2sc(NC(=O)CCN3CCN(Cc4ccc(C(C)(C)C)cc4)CC3)nc12,4.3979400086720375,0
CHEMBL5198012,Cc1cccc2sc(NC(=O)CCN3CCN(Cc4cccc5ccccc45)CC3)nc12,4.713768145971447,0
CHEMBL5177298,Cc1cccc2sc(NC(=O)CCN3CCN(c4ccccn4)CC3)nc12,4.763714722551971,0
CHEMBL5206534,Cc1cccc2sc(NC(=O)CCN3CCN(c4ccncc4)CC3)nc12,4.73969005420508,0
CHEMBL5206663,Cc1cccc2sc(NC(=O)CCN3CCN(c4ncccn4)CC3)nc12,4.522589312092748,0
CHEMBL9113,Cc1ccccc1,6.794905046801941,1
CHEMBL2332549,Cc1ccccc1/C=C1\CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C(=C\c2ccccc2C)C1=O,4.904133546521457,0
CHEMBL2332543,Cc1ccccc1/C=C1\CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C[C@@]2(C[C@H]3CCCN3[C@@]23C(=O)Nc2ccccc23)C1=O,4.561457651213889,0
CHEMBL2380669,Cc1ccccc1/C=C1\CN(C(=O)[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2cc(Cl)ccc23)C/C(=C\c2ccccc2C)C1=O,4.950781977329818,0
CHEMBL45005,Cc1ccccc1C,6.654901959985743,1
CHEMBL5079168,Cc1ccccc1C(=O)O[C@@H]1C=C[C@]23CCN(Cc4cc5c(cc42)OCO5)[C@H]3C1,4.0,0
CHEMBL4644961,Cc1ccccc1C1C([N+](=O)[O-])C(Cc2c[nH]cn2)NC12c1ccccc1-c1nc3ccccc3nc12,4.999132278468773,0
CHEMBL3785803,Cc1ccccc1C1N(C)Cc2cc(O)ccc2N1C,3.8434508486682186,0
CHEMBL225638,Cc1ccccc1CN(C)CCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1,3.2479515521805613,0
CHEMBL158174,Cc1ccccc1CN1CCC(C)CC1,8.0,1
CHEMBL4210517,Cc1ccccc1CNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3,6.924453038607469,1
CHEMBL4210401,Cc1ccccc1C[n+]1ccc(COc2ccc3c(C)cc(=O)oc3c2)cc1.[Br-],7.450996737974212,1
CHEMBL352215,Cc1ccccc1F,6.66490027419387,1
CHEMBL241552,Cc1ccccc1N(C)C(=O)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,4.301029995663981,0
CHEMBL5178466,Cc1ccccc1N1CCN(CCC(=O)Nc2nc3c(C)cccc3s2)CC1,4.3979400086720375,0
CHEMBL6149635,Cc1ccccc1NC(=O)Nc1cccc(/C(N)=N/O)c1,4.760700520873107,0
CHEMBL178770,Cc1ccccc1NC(=O)Oc1ccc2c(c1)C1(C)CCOC1O2,7.638272163982407,1
CHEMBL178294,Cc1ccccc1NC(=O)Oc1ccc2c(c1)C1(C)COC(C1)O2,7.251811972993799,1
CHEMBL205335,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@@]1(C)CCO[C@H]1N2C,6.847711655616943,1
CHEMBL206093,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@@]1(C)CCO[C@H]1O2,7.443697499232712,1
CHEMBL378404,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@@]1(C)CO[C@H](C1)O2,7.42021640338319,1
CHEMBL55315,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2,7.3979400086720375,1
CHEMBL300143,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2C,7.991441850196551,1
